Inglise,Eesti,Vene,
404 background,404 taust,Фон 404,
A flag for whether the link should be enabled in menus or hidden.,"Märge, kas menüülink on avaldatud või peidetud lehe kasutaja jaoks.","Флажок, указывающий, должна ли ссылка быть активирована в меню или скрыта.",
Accessibility,Juurdepääsetavus,Доступность,
Accessibility modal,Juurdepääsetavuse modaalaken,Модальное окно доступности,
academic hours ,akad. tundi,академических часов,
Additional information,Täiendav info,Дополнительная информация,
Additional information in Juhan,Täiendav info Juhanis,Дополнительная информация в Juhan,
All,Kõik,Все,
Auditory work,Auditoorne töö,Работа в аудитории,
Author,Autor,Автор,
Back,Tagasi,Обратно,
Back to main menu,Tagasi peamenüüsse,Возврат в главное меню,
Black-yellow,Must-kollane,Черно-желтый,
Breadcrumb,Jälglink,Навигационная цепочка,
Bring picture to focus,Too foto fookusesse,Приведите картинку в фокус,
Calendar tags group,Kalendri siltide rühm,Группа тегов календаря,
Cancel,Tühista,Отменить,
CANCELED,TÜHISTATUD,ОТМЕНЕНО,
Change font size,Muuda fondi suurust,Изменить размер шрифта,
Change line height,Muuda joone kõrgust,Изменить высоту строки,
Change page contrast color,Muuda lehekülje kontrasti värvi,Изменить контрастный цвет страницы,
Choose building,Vali hoone,Выберите здание,
Choose department,Vali osakond,Выберите отдел,
Choose event type,Vali sündmuse tüüp,Выберите тип события,
Choose from calendar,Vali kalendrist,Выберите из календаря,
Choose location,Vali asukoht,Выберите местоположение,
Choose position,Vali ametikoht,Выберите должность,
Choose training type,Vali koolituse tüüp,Выберите тип тренинга,
Choose year,Vali aasta,Выберите год,
Click to remove,Klõpsa eemaldamiseks,"Нажмите, чтобы удалить",
Close accessibility modal,Sulge juurdepääsetavuse modaalaken,Закрыть модальное окно доступности,
Close menu,Sulge menüü,Закрыть меню,
Close modal,Sulge modaalaken,Закрыть модальное окно,
Close notification,Sulge teade,Закрыть уведомление,
Closed,Suletud,Закрыто,
Consulations time,Konsultatsiooni aeg,Время консультаций,
Contact,Kontakt,Контакт,
Contact photo,Kontakti foto,Фото контактного лица,
Contact person,Kontaktisik,Контактное лицо,
Contacts,Kontaktid,Контакты,
Content pages,Sisulehed,Страницы контента,
Contrast,Kontrastsus,Контраст,
Copy link,Kopeeri link,Копировать ссылку,
Current page,Praegune lehekülg,Текущая страница,
CV,CV,CV,
Date created,Loomise kuupäev,Дата создания,
Default value,Vaikeväärtus,Значение по умолчанию,
Download audio file,Laadi alla helifail,Скачать аудиофайл,
Download file,Laadi alla fail,Скачать файл,
Download image file,Laadi alla pildifail,Скачать файл изображения,
Download picture file,Laadi alla fotofail,Скачать файл картинки,
Download presentation',Laadi alla esitlus',Скачать презентацию',
Download table file,Laadi alla tabelifail,Скачать файл таблицы,
Download text document,Laadi alla tekstidokument,Скачать текстовый документ,
Download video file,Laadi alla videofail,Скачать видеофайл,
E-mail,E-post,Эл. почта,
Education,Haridus,Образование,
Email address,E-posti aadress,Адрес эл. почты,
EU fund logo,ELi fondi logo,Логотип фонда ЕС,
European union. European social fund. Investing in your future,Euroopa Liit. Euroopa Sotsiaalfond. Eesti tuleviku heaks!,Европейский Союз. Европейский социальный фонд. Инвестиции в свое будущее,
Events,Sündmused,Мероприятия,
Filter galleries,Filtreeri galeriisid,Фильтровать галереи,
Filter news,Filtreeri uudiseid,Фильтровать новости,
Find quickly,Otsi kiiresti,Найти быстро,
Food menu dates,Toidumenüü kuupäevad,Даты меню питания,
Food menu items,Toidumenüü kirjed,Пункты меню питания,
Form contains errors. Mistakes have been marked below after the form fields that contain errors.,Vorm sisaldab vigu. Vead on märgitud allpool vigu sisaldavate vormiväljade järele.,"Форма содержит ошибки. Ошибки отмечены ниже после полей формы, содержащих ошибки.",
FREE,TASUTA,БЕСПЛАТНО,
Galleries,Galeriid,Галереи,
General Contact,Üldine kontakt,Общий контакт,
Go to last page,Mine viimasele leheküljele,Перейти на последнюю страницу,
Go to next page,Mine järgmisele leheküljele,Перейти на следующую страницу,
Go to page @key,Mine leheküljele @key,Перейти на страницу @key,
Graduates,Vilistlased,Выпускники,
HarID logo,HarID logo,Логотип HarID,
The options apply automatically,Valikud rakenduvad automaatselt,Опции применяются автоматически,
Home page,Avaleht,Домашняя страница,
"If selected and this menu link has children, the menu will always appear expanded. This option may be overridden for the entire menu tree when placing a menu block.","Kui see on valitud ja sellel menüülingil on alamad, kuvatakse menüü alati laiendatuna. Selle valiku võib menüüplokk kogu menüüpuu jaoks ülekirjutada.","Если это выбрано и эта ссылка меню имеет дочерние элементы, меню всегда будет отображаться развернутым. Эта опция может быть переопределена для всего дерева меню при размещении блока меню.",
"Image, opens in modal","Pilt, avaneb modaalaknas","Изображение, открывается в модальном окне",
Important,Oluline,Важная информация,
Important contacts,Olulised kontaktid,Важные контакты,
Increase letter spacing,Suurenda tähevahet,Увеличить межбуквенный интервал,
Increase paragraph breaks,Suurenda lõiguvahet,Увеличить разрывы абзаца,
Increase word spacing,Suurenda sõnavahet,Увеличить интервал между словами,
Independent work,Iseseisev töö,Независимая работа,
"It was an awesome page, but I ate it","See oli äge lehekülg, aga ma sõin selle ära","Это была потрясающая страница, но я ее съел",
Language,Keel,Язык,
Large,Suur,Большой,
Last changed,Viimati muudetud,Последнее изменение,
Line spacing,Reavahe,Межстрочный интервал,
Link in page,Link leheküljel,Ссылка на странице,
Link is copied!,Link on kopeeritud!,Ссылка скопирована!,
Link will open on a new page,Link avaneb uuel leheküljel,Ссылка откроется на новой странице,
Link out,Link välja,Ссылка на выход,
"Link weight among links in the same menu at the same depth. In the menu, the links with high weight will sink and links with a low weight will be positioned nearer the top.","Määrab ühe menüüpunkti külge lisatud menüüpunktide omavahelise järjekorra. Madalam väärtus tähendab, et on eespool.","Вес ссылки среди ссылок в одном меню на одной глубине. В меню ссылки с большим весом будут опускаться, а ссылки с низким весом будут располагаться ближе к верху.",
List of links,Linkide loend,Список ссылок,
Location,Asukoht,Местоположение,
Locations,Asukohad,Местоположение,
Location map,Asukoha kaart,Карта местоположения,
Look at all events,Vaata kõiki sündmusi,Посмотреть все события,
Look at weekly menu,Vaata nädala menüüd,Посмотреть недельное меню,
Look more events,Vaata rohkem sündmusi,Посмотреть больше событий,
Look more trainings,Vaata rohkem koolitusi,Посмотреть больше тренингов,
Menu link title,Menüülingi nimi,Название ссылки меню,
Message,Sõnum,Сообщение,
More information,Rohkem infot,Дополнительная информация,
More information about accessibility,Rohkem infot juurdepääsetavuse kohta,Дополнительная информация о доступности,
Name,Nimi,Наименование,
News,Uudised,Новости,
News tags group,Uudiste siltide rühm,Группа новостных тегов,
Next page,Järgmine lehekülg,Следующая страница,
Next Picture,Järgmine foto,Следующая картинка,
No contacts matching the filters were found!,Filtritele vastavaid kontakte ei leitud!,"Контакты, соответствующие фильтрам, не найдены!",
No events matching the filters were found!,Filtritele vastavaid sündmusi ei leitud!,"Событий, соответствующих фильтрам, не найдено!",
No food menu found,Toidumenüüd ei leitud,Меню питания не найдено,
No galleries matching the filters were found!,Filtritele vastavaid galeriisid ei leitud!,"Галерей, соответствующих фильтрам, не найдено!",
No news matching the filters were found!,Filtritele vastavaid uudiseid ei leitud!,"Новостей, соответствующих фильтрам, не найдено!",
No results found!,Tulemusi ei leitud!,Результатов не найдено!,
Older galleries,Vanemad galeriid,Старые галереи,
Older news,Vanemad uudised,Старые новости,
Open filters,Ava filtrid,Открыть фильтры,
Open map in Republic of Estonia Land Board website,Ava kaart Eesti Vabariigi Maa-ameti kodulehel,Открыть карту на сайте Земельного департамента Эстонской Республики,
Open PDF document,Ava PDF-dokument,Открыть PDF-документ,
Open picture,Ava foto,Открыть картинку,
Open/close menu,Menüü avamine/sulgemine,Открыть/закрыть меню,
Opening times,Lahtiolekuajad,Часы работы,
Page,Veebileht,Страница,
Pagination,Lehekülgjaotus,Разбивка на страницы,
Parent link ,Kõrgema taseme menüüpunkt,Родительская ссылка,
PDF document,PDF-dokument,PDF-документ,
Phone,Telefon,Телефон,
Phone number,Telefoninumber,Номер телефона,
Picture opens in modal,Foto avaneb modaalaknas,Картинка открывается в модальном окне,
Pictures,Fotod,Картинки,
Practical work,Praktiline töö,Практическая работа,
Previous page,Eelmine lehekülg,Предыдущая страница,
Previous picture,Eelmine foto,Предыдущая картинка,
Price,Hind,Цена,
Print page,Prindi lehekülg,Распечатать страницу,
Published,Avaldatud,Опубликовано,
Quantity,Maht,Количество,
Ready,Valmis,Готово,
Registration begins,Registreerimine algab,Начало регистрации,
Registration ends,Registreerimine lõpeb,Регистрация заканчивается,
Registration is over!,Registreerimine on lõppenud!,Регистрация окончена!,
Search,Otsi,Поиск,
Search box,Otsingukast,Поисковая строка,
Search contacts,Otsi kontakte,Поиск контактов,
Search…,Otsimine...,Поиск…,
Search results,Otsingu tulemused,Результаты поиска,
Share,Jaga,Поделиться,
Share,Jaga,Поделиться,
Share calendar,Jaga kalendrit,Поделиться календарем,
Share page,Jaga lehekülge,Поделиться страницей,
Short description of the image used by screen readers and displayed when the image is not loaded. This is important for accessibility.,"Alternatiivset teksti kasutatakse ekraanilugejate ja otsingumootorite poolt ning kui pilti ei saa laadida. Alt tekst kirjeldab pildil kujutatut. Alt tekst ei tohi korrata pildi pealkirja, olla lihtsalt ""Pilt"" või faili pealkiri ja võiks olla kuni 100 tähemärki pikk.","Краткое описание изображения, которое используется программами чтения с экрана и отображается, когда изображение не загружено. Это важно для доступности.",
Show all contacts,Näita veel kontakte,Показать все контакты,
Show all content pages,Näita veel sisulehti,Показать все страницы контента,
Show all events,Näita veel sündmuseid,Показать все события,
Show all galleries,Näita veel galeriisid,Показать все галереи,
Show all graduates,Näita veel vilistlasi,Показать всех выпускников,
Show all locations,Näita veel asukohti,Показать все местоположения,
Show all news,Näita veel uudiseid,Показать все новости,
Show all trainings,Näita veel koolitusi,Показать все тренинги,
Show from,Näita alates,Показать от,
Show less,Näita vähem,Показать меньше,
Show to,Näita kuni,Показать до,
Site header,Saidi päis,Заголовок сайта,
Sitemap,Saidikaart,Карта сайта,
Skip to main content,Liigu edasi põhisisu juurde,Перейти к основному содержанию,
Start typing the title of a piece of content to select it. You can also enter an internal path such as /node/add or an external URL such as http://example.com. Enter <front> to link to the front page. Enter <nolink> to display link text only.,"Selle valimiseks alustage sisulehe pealkirja tippimist. Võite sisestada ka sisemise tee, näiteks %add-node, või välise URL-i, näiteks %url. Avalehe linkimiseks sisestage %front. Ainult lingi teksti kuvamiseks sisestage %nolink.","Начните вводить название фрагмента контента, чтобы выбрать его. Вы также можете ввести внутренний путь, например /node/add, или внешний URL-адрес, например http://example.com. Введите <front>, чтобы перейти на главную страницу. Введите <nolink>, чтобы отобразить только текст ссылки.",
Stop slider,Lõpeta bännerite liikumine,Остановить слайдер,
Study times,Õppeajad,Время занятий,
Submit,Esita,Отправить,
Target groups,Sihtgrupid,Целевые группы,
Text size,Teksti suurus,Размер текста,
The maximum depth for a link and all its children is fixed. Some menu links may not be available as parents if selecting them would exceed this limit.,"Kui peamenüü esimese taseme punkti küljes on link ja selle külge lisatakse peamenüü teine tase, siis ei ole võimalik esimese taseme lehti kuvada. Kui lisatav leht on navigatsioonimenüüs 5. tasemel või rohkemal, siis seda ei kuvata vasakmenüüs ja peamenüüs. Otsingumootorites kuvatakse leht siiski välja.","Максимальная глубина ссылки и всех ее дочерних элементов фиксирована. Некоторые ссылки меню могут быть недоступны в качестве родительских, если их выбор превысит это ограничение.",
The options apply automatically,Valikud rakenduvad automaatselt,Опции применяются автоматически,
The text to be used for this link in the menu.,"Menüüpunkti nimetus peaks olema võimalikult lühike ja konkreetne, võimalusel ainult 1 sõna. Teise taseme ja sealt edasi menüüpunkt võib olla natuke pikem ning detailsem kui esimese taseme menüüpunkt. Ei soovita üle 2 sõna.","Текст, который будет использоваться для этой ссылки в меню.",
The title is used as a tool tip when the user hovers the mouse over the image.,Pildi pealkirja kuvatakse pildi modaalvaates. Pealkirja teksti lisamine hõlbustab pildi konteksti mõistmist ja parandab kasutatavust.,"Заголовок используется в качестве всплывающей подсказки, когда пользователь наводит указатель мыши на изображение.",
Time,Aeg,Время,
Title missing,Pealkiri puudub,Отсутствует название,
Today,Täna,Сегодня,
Toggle menu,Vaheta menüüd,Переключить меню,
Toggle navigation,Vaheta navigeerimist,Переключить навигацию,
Trainer,Koolitaja,Инструктор,
Trainers,Koolitajad,Инструкторы,
Trainings,Koolitused,Тренинги,
Translations for %label,%label tõlked,Переводы для %label,
Type gallery title you are looking for,Kirjutage otsitava galerii pealkiri,"Введите название галереи, которую вы ищете",
Type news title you are looking for,Kirjutage otsitava uudise pealkiri,"Введите заголовок новости, которую вы ищете",
Very large,Väga suur,Очень большой,
Video,Video,Видео,
"When you select a contrast, it changes automatically",Kontrastsuse valimisel muutub see automaatselt,"Когда вы выбираете контраст, он изменяется автоматически",
"When you select a line spacing, it changes automatically",Reavahe valimisel muutub see automaatselt,"Когда вы выбираете межстрочный интервал, он изменяется автоматически",
"When you select a text size, it changes automatically",Teksti suuruse valimisel muutub see automaatselt,"Когда вы выбираете размер текста, он изменяется автоматически",
Hours,Tunnid,Часы,
Food menu,Toidumenüü,Меню,
News,Uudised,Новости,
Our stories,Meie lood,Наши истории,
Events and trainings,Sündmused ja koolitused,События и oбучение,
Gallery,Galeriid,Галерея,
Partners,Partnerid,Партнеры,
Recognitions,Tunnustused,Признание,
Back to top,Tagasi üles,Вернуться наверх,
Add content,Lisa sisu,Добавить контент,
Location,Asukoht,Местоположение,
Homepage,Esileht,Домашняя страница,
Gallery,Galerii,Галерея,
Contact,Kontakt,Контакт,
Class of,Lend,Выпуск,
Content page,Sisuleht,Контентная страница,
Event or training,Sündmus või koolitus,Событие или тренинг,
Food menu,Toidumenüü,Меню питания,
Recognition or partner logo,Tunnustuse või koostööpartneri logo,Лого признания или партнера,
News,Uudis,Новость,
Scheduled,Ajastatud,Запланированное,
Scheduled content,Ajastatud sisu,Запланированный контент,
Add content,Lisa sisu,Добавить контент,
Location,Asukoht,Местоположение,
Homepage,Esileht,Домашняя страница,
Gallery,Galerii,Галерея,
Contact,Kontakt,Контакт,
Class of,Lend,Выпуск,
Content page,Sisuleht,Контентная страница,
Event or training,Sündmus või koolitus,Событие или тренинг,
Food menu,Toidumenüü,Меню питания,
Recognition or partner logo,Tunnustuse või koostööpartneri logo,Лого признания или партнера,
News,Uudis,Новость,
Scheduled,Ajastatud,Запланированное,
Scheduled content,Ajastatud sisu,Запланированный контент,
Add content,Lisa sisu,Добавить контент,
Action,Toiming,Действие,
Filter,Filtreeri,Фильтр,
- Any - ,- Kõik -,Любой - ,
Not specified,Määratlemata,Не указано,
Interface text language selected for page,Kasutajaliidese tekst,Язык текста интерфейса выбран для страницы,
Site's default language (Estonian),Lehe vaikimisi keel (Estonian),Язык сайта по умолчанию (эстонский),
Jan,jaan,Янв.,
Next slide,Järgmine slaid,Следующий слайд,
Previous slide,Eelmine slaid,Предыдущий слайд,
Pause slider,Peata bännerite liikumine,Поставить слайдер на паузу,
Start slider,Käivita bännerite liikumine,Включить слайдер,
Go to slide 1,Mine slaidile 1,Перейти к слайду 1,
Go to slide 2,Mine slaidile 2,Перейти к слайду 2,
Go to slide 3,Mine slaidile 3,Перейти к слайду 3,
Go to slide 4,Mine slaidile 4,Перейти к слайду 4,
Go to slide 5,Mine slaidile 5,Перейти к слайду 5,
Webform settings,Sisestusvormi seaded,Настройки веб-формы,
%d character(s) remaining,%d tähemärki jäänud,%d символов осталось,
%d word(s) remaining,%d sõna jäänud,%d слов осталось,
%d characters/word(s) remaining,% tähemärki/sõna jäänud,%d символов/слов осталось,
https://veebiplatvormdev.eenet.ee/et/admin/structure/webform/options/manage,https://veebiplatvormdev.eenet.ee/et/admin/structure/webform/options/manage,https://veebiplatvormdev.eenet.ee/et/admin/structure/webform/options/manage,
